Vessel,Expedition_Leg,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries,Staff Scientist*,Operations Superintendent*,Lab Officer,Curator*,Co-chiefs
JOIDES Resolution,142,Engineering Tests: East Pacific Rise,12-Jan-92,Valparaiso,Chile,18-Mar-92,Honolulu,USA,66,6.1,23.4,36.5,,0,0,,,,0,36.5,1,3,5,6361,11.4,24.8,9.3,15.5,9.5,61.3,2583,,,,James Allan,Michael Storms,Burnette Hamlin,Erinn McCarty,Rodey Batiza
JOIDES Resolution,143,Northwest Pacific Atolls and Guyots I,18-Mar-92,Honolulu,USA,20-May-92,Majuro Atoll,Marshall Islands,61,4.21,13.06,43.73,,35.03,6.28,,,,0,2.43,6,12,441,3371,10.5,4135,140,3995,1065.2,26.7,4838,,,,John Firth,Eugene Pollard,Bradley Julson,Lorraine Southey,William Sager & Edward Winterer
JOIDES Resolution,144,Northwest Pacific Atolls and Guyots II,20-May-92,Majuro Atoll,Marshall Islands,20-Jul-92,Yokohama,Japan,61.8,4,12.2,45.6,,34.61,7.23,,,,0,3.76,11,21,358,3145,10.6,3486,284.7,3201.3,1088.2,27.3,1537,,,,Frank Rack,Glen Foss,William Mills,Erinn McCarty,Janet Haggerty & Isabella Premoli-Silva
JOIDES Resolution,145,The North Pacific Transect,20-Jul-92,Yokohama,Japan,20-Sep-92,Victoria,Canada,62.3,4.1,17.3,40.9,,34.8,5.2,,,,0,0.9,7,25,540,4823,11.4,7730.3,2709.7,5020.6,4321.4,86.1,5726,,,,Thomas Janecek,Ronald Grout,Randy Current,Lorraine Southey,Ivan Basov & David Rea
JOIDES Resolution,146,The Cascadia Margin,20-Sep-92,Victoria,Canada,22-Nov-92,San Diego,USA,62.88,4.94,6.12,51.82,,28.13,11.44,,,,0.29,11.96,7,20,272,1453,10.7,4492.4,2229.5,2262.9,1196.9,52.9,2675,,,,Robert Musgrave,Glen Foss,Bradley Julson,Erinn McCarty,Bobb Carson & Graham Westbrook
JOIDES Resolution,147,The Hess Deep Rift Valley,22-Nov-92,San Diego,USA,21-Jan-93,Balboa,Panama,59.5,3,12.8,43.7,,24.8,1.5,,,,0,17.4,2,13,57,3487,11,545.3,27,518.3,120.7,23.3,3832,,,,James Allan,Eugene Pollard,Burnette Hamlin,Lorraine Southey,Kathryn Gillis & Catherine Mevel
JOIDES Resolution,148,Hole 504B - Costa Rica Rift,21-Jan-93,Balboa,Panama,10-Mar-93,Balboa,Panama,48.07,4.6,4.34,39.13,,18.46,7.8,,,,0,12.85,2,2,45,529,9.8,2103.5,1726.5,377,83.7,1.3,3474,,,,Laura Stokking,Barry Harding,William Mills,Erinn McCarty,Jeffery Alt & Hajimu Kinoshita
JOIDES Resolution,149,Iberian Abyssal Plain,10-Mar-93,Balboa,Panama,25-May-93,Lisbon,Portugal,75.8,4.6,20,51.2,,40.6,5,,,,0,5.7,5,10,288,4834,10.5,3897,1211.4,2685.6,1532.1,57,5389,,,,Adam Klaus,Eugene Pollard,Bradley Julson,Erinn McCarty/Lorraine Southey,Dale Sawyer & Robert Whitmarsh
JOIDES Resolution,150,The New Jersey Sealevel,25-May-93,Lisbon,Portugal,24-Jul-93,St. Johns,Canada,60.7,3,19.2,38.5,,24.11,9.54,,,,0,5.82,5,11,515,4291,9.2,6044.8,1442.9,4601.9,4031.5,87.6,2709,,,,Peter Blum,Glen Foss,Burnette Hamlin,Lorraine Southey,Kenneth Miller & Gregory Mountain
JOIDES Resolution,151,North Atlantic Arctic Gateways I,24-Jul-93,St. Johns,Canada,24-Sep-93,Reykjavik,Iceland,61.1,4.7,18,38.4,,31.6,6.2,,,,0.3,0.4,7,18,475,4307,10.4,4673.8,457.5,4216.3,3004.5,71.3,3330,,,,John Firth,Eugene Pollard,William Mills,Erinn McCarty,Annik Myhre & Jorn Thiede
JOIDES Resolution,152,East Greenland Margin,24-Sep-93,Reykjavik,Iceland,22-Nov-93,St. Johns,Canada,59.2,4.2,9.1,45.9,,38.3,1,,,,3.2,3.4,6,13,346,1644,7.6,3678.2,772.3,2905.9,1255.1,43.2,2097.3,,,,Peter Clift,Ronald Grout,Bradley Julson,Lorraine Southey,Hans Christian Larsen & Andrew Saunders
JOIDES Resolution,153,Mid-Atlantic Ridge/Kane Fracture Zone,22-Nov-93,St. Johns,Canada,24-Jan-94,Bridgetown,Barbados,63,5.3,9.9,47.8,,37.2,,,,,0,10.6,5,15,100,2543,10.8,814.3,86.3,728,254.7,35,3343,,,,Jay Miller,Thomas Pettigrew,Burnette Hamlin,Erinn McCarty,Mathilde Cannat & Jeffrey Karson
JOIDES Resolution,154,Ceara Rise,24-Jan-94,Bridgetown,Barbados,25-Mar-94,Bridgetown,Barbados,59.94,4.5,12,43.44,,34.68,6.95,,,,0,1.81,5,19,653,2988,10.6,6924,762.9,6161.1,5808.2,94.3,4369,,,,Carl Richter,Thomas Pettigrew,Burnette Hamlin,Erinn McCarty,William Curry & Nicholas Shackleton
JOIDES Resolution,155,Amazon Deep-Sea Fan,25-Mar-94,Bridgetown,Barbados,24-May-94,Bridgetown,Barbados,60.03,3.23,8.9,47.9,,36.41,8.2,,,,0,3.29,17,36,558,2265,9.5,5232.9,116.4,5116.5,4052.8,79.2,4148,,,,Adam Klaus,Eugene Pollard,Bradley Julson,Erinn McCarty,Roger Flood & David Piper
JOIDES Resolution,156,Barbados Ridge Accretionary Prism,24-May-94,Bridgetown,Barbados,24-Jul-94,Bridgetown,Barbados,61.18,3.9,2.7,54.58,,27.54,12.22,,,,0,14.82,3,8,54,652,10.6,3232.4,2763.8,468.6,267.1,57,5013,,,,Peter Blum,Glen Foss,Burnette Hamlin,Lorraine Southey,Yujiro Ogawa & Thomas Shipley
JOIDES Resolution,157,VICAP (Volcanic Island Clastic Apron Project) & MAP (Madeira Abyssal Plain),24-Jul-94,Bridgetown,Barbados,23-Sep-94,Las Palmas,Canary Islands,60.61,3.33,12.22,45.06,,36.02,5.81,,,,0,3.23,7,12,438,3102,10.4,4958.7,867.4,4091.3,3089.5,75.5,5449,,,,John Firth,Ronald Grout,William Mills,Erinn McCarty,Hans-Ulrich Schmincke & Philip Weaver
JOIDES Resolution,158,TAG (Trans-Atlantic Geotraverse) Hydrothermal Mound,23-Sep-94,Las Palmas,Canary Islands,22-Nov-94,Las Palmas,Canary Islands,60.4,6.1,11.67,42.63,,24.35,0.23,,,,0,18.05,1,17,88,3228,10.9,635.3,104.4,530.9,55.3,10.4,3657,,,,Jay Miller,Eugene Pollard,Bradley Julson,Lorraine Southey,Peter Herzig & Susan Humphris
JOIDES Resolution,159,Cote d'Ivoire-Ghana Transform Margin,3-Jan-95,Dakar,Senegal,2-Mar-95,Marseille,France,57.96,1.31,12.73,43.92,,36.91,3.98,,,,0,3.02,4,13,366,3521.5,11.9,4239.3,919.2,3320.1,2018.4,60.8,4645,,,,Peter Clift,Michael Storms,Burnette Hamlin,Lorraine Southey,G. Pat Lohmann & Jean Mascle
JOIDES Resolution,160,Mediterranean Sea I,7-Mar-95,Marseille,France,3-May-95,Napoli,Italy,56.32,4.66,11.28,40.38,,34.93,5.2,,,,0,0.25,11,48,544,4048,11.6,5094.5,294,4800.5,3363.3,70.1,3931,,,,Carl Richter,Eugene Pollard,William Mills,Erinn McCarty,Alastair Robertson & Kay-Christian Emeis
JOIDES Resolution,161,Mediterranean Sea II,3-May-95,Napoli,Italy,2-Jul-95,Leith,Scotland,61.35,3.5,13.8,44.05,,34.8,6.7,,,,0,2.6,6,16,505,3060,10.2,5333.9,742.6,4591.3,3874.5,84.4,3470,,,,Adam Klaus,Leon Holloway,Burnette Hamlin,Lorraine Southey,Maria Comas & Rainer Zahn
JOIDES Resolution,162,North Atlantic Arctic Gateways II,7-Jul-95,Leith,Scotland,3-Sep-95,Reykjavik,Iceland,62.58,5.14,13.58,43.86,,36.77,3.67,,,,0,3.43,9,30,828,1750,11.2,8637.3,928.9,7708.4,6730.7,87.3,2879,,,,Peter Blum,Michael Storms,Bradley Julson,Erinn McCarty,Eystein Jansen & Maureen Raymo
JOIDES Resolution,163,Southeast Greenland Margin,3-Sep-95,Reykjavik,Iceland,7-Oct-95,Halifax,Canada,33.91,7.1,10.13,16.68,,12.34,0,,,,3.25,1.09,3,4,46,2787,9.9,480.3,166,314.3,204.6,65.1,541.5,,,,James Allan,Ronald Grout,William Mills,Lorraine Southey,Robert Duncan & Hans-Christian Larsen
JOIDES Resolution,164,Gas Hydrate Sampling Blake Ridge & Carolina Rise,31-Oct-95,Halifax,Canada,19-Dec-95,Miami,USA,72.13,24.27,6.85,41.01,,26.77,14.24,,,,0,0.74,7,17,344,1645,10.8,3900.2,1115.1,2785.1,1981.8,71.2,2799.1,,,,Paul Wallace,Eugene Pollard,Bradley Julson,Erinn McCarty,Ryo Matsumoto & Charles Paull
JOIDES Resolution,165,Caribbean Ocean History and the Cretaceous/Tertiary Boundary Event,21-Dec-95,Miami,USA,17-Feb-96,San Juan,Puerto Rico,60.3,2.9,12.7,44.7,,36.6,4.5,,,,0,3.5,5,13,453,3084,,5951.7,1773.3,4178.4,3358.6,80.4,3260,,,,Gary Acton,Michael Storms,Burnette Hamlin,Lorraine Southey,Mark Leckie & Haraldur Sigurdsson
JOIDES Resolution,166,The Bahamas Transect,20-Feb-96,San Juan,Puerto Rico,10-Apr-96,Balboa,Panama,52.72,4.63,6.8,41.29,,32.32,6.83,,,,0,0.2,7,17,572,2045,11.9,7452.4,2197.5,5254.9,2938.7,55.9,658.4,,,,Mitchell Malone,Eugene Pollard,William Mills,Erinn McCarty,Gregor Eberli & Peter Swart
JOIDES Resolution,167,California Margin,20-Apr-96,Acapulco,Mexico,16-Jun-96,San Francisco,USA,58,1.6,12.85,43.55,,38.34,4.27,,,,0,0.94,13,52,840,3102,10.3,7711.4,1.9,7709.5,7501.6,97.3,4215,,,,Carl Richter,Scott McGrath,Bradley Julson,Nancy Smith,Itaru Koizumi & Mitchell Lyle
JOIDES Resolution,168,Hydrothermal Circulation in the Oceanic Crust: Eastern Flank of the Juan de Fuca Ridge,16-Jun-96,San Francisco,USA,15-Aug-96,Victoria,Canada,60.46,4.04,4.96,51.46,,35.05,6.3,,,,0,10.11,10,19,230,,,3460.3,1408.7,2051.6,1551.7,75.6,2659,,,,John Firth,Michael Storms,Burnette Hamlin,Erinn McCarty,Earl Davis & Andrew Fisher
JOIDES Resolution,169S,Saanich Inlet,15-Aug-96,Victoria,Canada,20-Aug-96,Victoria,Canada,5.84,3.47,0.45,1.92,,1.62,0,,,,0,0.28,2,9,72,87,,677.8,0,677.8,686.1,101.2,228.7,,,,John Firth,Eugene Pollard,William Mills,Lorraine Southey,Brian Bornhold
JOIDES Resolution,169,Sedimented Ridges II,21-Aug-96,Victoria,Canada,16-Oct-96,San Diego,USA,52.28,1.22,5.76,45.3,,34.57,4.54,,,,0,4.26,7,25,363,3473,10,4380.9,814.4,3566.5,1205.1,33.8,3302,,,,Jay Miller,Eugene Pollard,William Mills,Chris Mato,Yves Fouquet & Robert Zierenberg
JOIDES Resolution,170,Costa Rica Accretionary Wedge,16-Oct-96,San Diego,USA,17-Dec-96,Balboa,Panama,60.4,5.9,11.6,42.9,,38,2.4,,,,0,3.1,5,17,223,2991,,5456.2,3404.6,2051.6,1463.7,71.3,4353.5,,,,Peter Blum,Michael Storms,Bradley Julson,Erinn McCarty,Gaku Kimura & Eli Silver
JOIDES Resolution,171A,Northern Barbados Accretionary Prism,17-Dec-96,Balboa,Panama,8-Jan-97,Bridgetown,Barbados,21.875,3.75,6.875,11.25,,10.81,0,,,,0,0.86,5,5,0,1533,9.7,2973,2973,0,0,0,5056,,,,Adam Klaus,Scott McGrath,Burnette Hamlin,Lorraine Southey,Casey Moore
JOIDES Resolution,171B,Blake Nose Paleoceanographic Transect,8-Jan-97,Bridgetown,Barbados,14-Feb-97,Charleston,USA,36.82,0.36,6.05,30.41,,26.24,3.71,,,,0,0.46,5,16,427,1533,9.7,4355.3,561.2,3794.1,3227.4,85.1,2682,,,,Adam Klaus,Scott McGrath,Burnette Hamlin,Lorraine Southey,Dick Kroon & Richard Norris
JOIDES Resolution,172,Northwest Atlantic Sediment Drifts,14-Feb-97,Charleston,USA,15-Apr-97,Lisbon,Portugal,57.21,4.49,15.9,36.82,,32.79,1.95,,,,0.75,2.48,11,42,623,4405,,5698.4,9.6,5688.8,5765.4,101.3,5568.3,,,,Gary Acton,Ronald Grout,William Mills,Erinn McCarty,Lloyd Keigwin & Domenico Rio
JOIDES Resolution,173,Return to Iberia,15-Apr-97,Lisbon,Portugal,15-Jun-97,Halifax,Canada,60.4,6.2,10.2,44,,38.8,2.5,,,,0,2.8,6,6,126,2465,,4181.9,2993.7,1188.2,452.5,38.1,5321.8,,,,Paul Wallace,Michael Storms,Dennis Graham,Lorraine Southey,Marie-Odile Beslier & Robert Whitmarsh
JOIDES Resolution,174A,New Jersey Mid-Atlantic Sea-Level Transect,15-Jun-97,Halifax,Canada,19-Jul-97,New York,USA,34.37,5.74,2,26.63,,12.67,6.28,,,,0,7.69,,12,202,720,10.8,3240.4,1498.4,1742,1033.6,59.3,639.4,,,,Mitchell Malone,Eugene Pollard,Burnette Hamlin,Erinn McCarty,James Austin & Nicolas Christie-Blick
JOIDES Resolution,174B,CORK Hole 395A,19-Jul-97,New York,USA,9-Aug-97,Las Palmas,Canary Islands,21.04,2.33,13.42,5.29,,1.44,1.66,,,,0,2.19,2,2,8,3496,11.2,69.5,0,69.5,66.3,95.4,4445.4,,,,Mitchell Malone,Eugene Pollard,Burnette Hamlin,unknown,Keir Becker
JOIDES Resolution,175,Benguela Current,9-Aug-97,Las Palmas,Canary Islands,8-Oct-97,Cape Town,South Africa,59.75,3.61,20.26,35.88,,31.11,4,,,,0,0.52,13,40,894,5160,10.9,8283,72.5,8210.5,8003.4,97.5,2995.7,,,,Carl Richter,Ronald Grout,William Mills,Erinn McCarty,Wolfgang Berger & Gerold Wefer
JOIDES Resolution,176,Hole 735B,8-Oct-97,Cape Town,South Africa,9-Dec-97,Cape Town,South Africa,61.52,7.1,16.2,38.22,,26.2,2.5,,,,0.5,9.1,1,1,126,3999,10,1498.3,504.8,993.5,866,86.3,720.6,,,,Jay Miller,Michael Storms,unknown,Lorraine Southey,Henry Dick & James Natland
JOIDES Resolution,177,SouthernOcean Paleoceanography,9-Dec-97,Cape Town,South Africa,5-Feb-98,Punta Arenas,Chile,58.5,5.1,20.3,33.1,,29.49,1.04,,,,1.19,1.39,7,31,549,4244,8.7,5359.4,370.5,4988.9,4046,81.1,4623.8,,,,Peter Blum,Glen Foss,Burnette Hamlin,Erinn McCarty,Rainer Gersonde & David Hodell
JOIDES Resolution,178,Antarctic Peninsula,5-Feb-98,Punta Arenas,Chile,9-Apr-98,Cape Town,South Africa,62.28,6.46,22.27,33.55,,25.01,3.97,,,,2.59,1.98,9,23,334,,10.5,3298.4,374.7,2923.7,1806.9,61.8,3841.6,,,,Gary Acton,Ronald Grout,Ted Gustafson,Paula Weiss,Peter Barker & Angelo Camerlenghi
JOIDES Resolution,179,Hammer Drilling and NERO,9-Apr-98,Cape Town,South Africa,7-Jun-98,Darwin,Australia,59.08,12.52,25.95,20.61,,14.07,0.46,,,,1.34,4.73,4,12,44,6439,10.4,670.8,527.8,143,118.4,82.8,1659,,,,Jay Miller,unknown,Kazushi Kuroki,unknown,John Casey & Thomas Pettigrew
JOIDES Resolution,180,Woodlark Basin,7-Jun-98,Darwin,Australia,11-Aug-98,Sydney,Australia,64.01,3.61,12.28,48.12,,39.54,4.72,,,,0,3.86,11,23,432,3105,10.6,4933.3,1021.1,3912.2,1966.4,50.3,3246.4,,,,Adam Klaus,Michael Storms,Burnette Hamlin,Paula Weiss,Philippe Huchon & Brian Taylor
JOIDES Resolution,181,SW Pacific Gateways,11-Aug-98,Sydney,Australia,8-Oct-98,Wellington,New Zealand,58.07,6.14,14.46,37.47,,28.51,3.99,,,,3.78,1.19,7,21,459,3310,9.5,4707,510.9,4196.1,3625.1,86.4,4492,,,,Carl Richter,Ronald Grout,Kazushi Kuroki,Erinn McCarty,Robert Carter & Ian McCave
JOIDES Resolution,182,Great Australian Bight,8-Oct-98,Wellington,New Zealand,7-Dec-98,Fremantle,Australia,60.61,5.92,17.47,37.22,,29.23,6.81,,,,0,1.19,9,27,623,3703.5,9,7065.9,1312.3,5753.6,3579.8,62.2,3876,,,,Mitchell Malone,Eugene Pollard,Ted Gustafson,Phil Rumford,David Feary & Albert Hine
JOIDES Resolution,183,Kerguelen,7-Dec-98,Fremantle,Australia,11-Feb-99,Fremantle,Australia,65.49,5.51,27.35,32.63,,27.47,1.75,,,,2.07,1.34,8,8,353,6278,9.8,3244.9,91,3153.9,1528.4,48.5,2394.1,,,,Paul Wallace,Michael Storms,Burnette Hamlin,Erinn McCarty,Millard Coffin & Frederick Frey
JOIDES Resolution,184,South China Sea,11-Feb-99,Fremantle,Australia,12-Apr-99,Hong Kong,Hong Kong,58.96,8.29,16.54,34.13,,29.46,4.08,,,,0,0.61,6,17,622,4068,10.5,6123.1,362.6,5760.5,5461.6,94.8,3297.1,,,,Peter Blum,Ronald Grout,Kazushi Kuroki,Gerald Bode,Warren Prell & Pinxian Wang
JOIDES Resolution,185,Izu-Mariana Margin,12-Apr-99,Hong Kong,Hong Kong,14-Jun-99,Yokohama,Japan,63.44,5.98,15.36,42.1,,33.62,3.89,,,,0.02,4.58,2,6,110,3831,10.8,2458.5,1398.3,1060.2,402.5,38,5867.3,,,,Carlota Escutia,Glen Foss,Burnette Hamlin,Erinn McCarty,John Ludden & Terry Plank
JOIDES Resolution,186,Western Pacific Geophysical Observatories,14-Jun-99,Yokohama,Japan,14-Aug-99,Yokohama,Japan,60.84,7.14,6.01,47.69,,31.53,8.15,,,,0,8.01,2,8,256,1453,10.1,7291.8,4865.1,2426.7,1741.2,71.8,2680.8,,,,Gary Acton,Michael Storms,Bradley Julson,Paula Weiss,I. Selwyn Sacks & Kiyoshi Suyehiro
JOIDES Resolution,187,Mantle Reservoirs and Migration Associated with Australian-Antarctic Rifting,16-Nov-99,Fremantle,Australia,10-Jan-00,Fremantle,Australia,54.67,4.76,14.63,35.28,,33.31,0,,,,0,1.97,13,23,112,3450.5,10.8,4406.5,3789.8,616.7,137.3,22.3,5736.4,,,,Jay Miller,Ronald Grout,Kazushi Kuroki,Bruce Horan,David Christie & Rolf Pedersen
JOIDES Resolution,188,"Prydz Bay-Cooperation Sea, Antarctica:  Glacial History and Paleoceanography",10-Jan-00,Fremantle,Australia,11-Mar-00,Hobart,Australia,61.36,5.81,24.67,30.88,,19.18,2.98,,,,7.43,1.29,3,7,201,5916,10.25,2819.8,967.7,1852.1,971.4,52.4,3537.6,,,,Carl Richter,Michael Storms,William Mills,Erinn McCarty,Alan Cooper & Philip O'Brien
JOIDES Resolution,189,The Tasmanian Gateway:  Cenozoic climatic and Oceanographic Development,11-Mar-00,Hobart,Australia,6-May-00,Sydney,Australia,60.72,5.68,10.08,44.96,,38.08,5.78,,,,0.18,0.92,5,16,551,2928.1,11,6258,1141.2,5116.8,4538.4,88.7,3567.9,,,,Mitchell Malone,Ronald Grout,Burnette Hamlin,Peter Esmay,Neville Exon & James Kennett
JOIDES Resolution,190,Deformation and Fluid Flow Processes in the Nankai Grough Accretionary Prism,6-May-00,Sydney,Australia,16-Jul-00,Yokohama,Japan,54.71,0.21,6.79,47.71,,40.9,1.17,,,,2.34,3.3,6,8,413,1857,11.35,4746.74,850.84,3895.9,2624.9,67.4,4844.3,,,,Adam Klaus,Thomas Pettigrew,Bradley Julson,Steven Prinz,Gregory Moore & Asahiko Taira
JOIDES Resolution,191,Northwest Pacific Seismic Observatory and Hammer Drill Tests,16-Jul-00,Yokohama,Japan,8-Sep-00,Apra Harbor,Guam,53.91,5.58,17.59,30.74,,21.89,2.78,,,,0.46,5.61,4,18,56,4578,11.4,1902.8,1393.8,509,363.2,71.4,5566,,,,Carlota Escutia,Michael Storms,William Mills,unknown,Toshihiko Kanazawa & William Sager
JOIDES Resolution,192,Basement Drilling fo the Ontong Java Plateau,8-Sep-00,Apra Harbor,Guam,7-Nov-00,Apra Harbor,Guam,59.09,4.19,13.15,41.75,,38.17,0.74,,,,0,2.83,5,6,203,3479,11.2,4147,2383.2,1763.8,897.6,50.9,3898.9,,,,Paul Wallace,Ronald Grout,Roy Davis,Peter Esmay,J. Godfrey Fitton & John Mahoney
JOIDES Resolution,193,Manus Basin,7-Nov-00,Apra Harbor,Guam,3-Jan-01,Townsville,Australia,57.21,6.71,8.86,41.64,,29.19,3.78,,,,0,8.68,4,13,107,2351.1,11.4,1299.6,563.5,736.1,79.3,10.8,1703.1,,,,Jay Miller,Michael Storms,Burnette Hamlin,Jessica Huckemeyer,Fernando Barriga & Raymond Binns
JOIDES Resolution,194,Marion Plateau,3-Jan-01,Townsville,Australia,2-Mar-01,Apra Harbor,Guam,57.76,4.38,10.64,42.74,,35.62,3.42,,,,0.75,2.96,8,16,597,2824,11.7,6008.2,1043.1,4965.1,2054.9,41.4,419.9,,,,Peter Blum,Ronald Grout,William Mills,Peter Esmay,Flavio Anselmetti & Alexandra Isern
JOIDES Resolution,195,Mariana / West Pacific ION,2-Mar-01,Apra Harbor,Guam,2-May-01,Keelung,Taiwan,60.79,5.19,7.84,47.76,,35.02,3.49,,,,0,9.25,3,15,196,2095.1,11.5,2589.8,922.9,1666.9,1306.2,78.4,5710.2,,,,Carl Richter,Michael Storms,Roy Davis,Jessica Huckemeyer,Matthew Salisbury & Masanao Shinohara
JOIDES Resolution,196,Nankai II,2-May-01,Keelung,Taiwan,1-Jul-01,Yokohama,Japan,58.89,5.56,6.63,46.7,,19.54,3.77,,,,1.25,22.13,2,4,3,1606,10.2,2115.8,2096.3,19.5,5.2,26.6,4791.1,,,,Adam Klaus,Eddie Wright,Burnette Hamlin,Kim Bracchi,Keir Becker & Hitoshi Mikada & J. Casey Moore
JOIDES Resolution,197,Hotspots,1-Jul-01,Yokohama,Japan,27-Aug-01,Yokohama,Japan,57.19,4.31,15.57,37.31,,32.17,2.56,,,,0,2.58,4,5,188,4209.8,11.3,3410.6,1929.6,1481,752.8,50.8,2593.5,,,,David Scholl,Ronald Grout,William Mills,Paula Weiss,Robert Duncan & John Tarduno
JOIDES Resolution,198,Shatsky Rise,27-Aug-01,Yokohama,Japan,23-Oct-01,Honolulu,USA,58.12,3.85,16.95,37.32,,32.74,1.43,,,,1.66,1.5,8,16,443,4298,10.2,4461.7,514.9,3946.8,2914.4,73.8,3882.8,,,,Mitchell Malone,Michael Storms,Burnette Hamlin,Kim Bracchi,Timothy Bralower & Isabella Premoli-Silva
JOIDES Resolution,199,Paleogene Pacific,23-Oct-01,Honolulu,USA,16-Dec-01,Honolulu,USA,53.48,4.52,14.4,34.56,,30.6,2.54,,,,0,1.43,8,21,283,3675,10.7,2881.9,416.8,2465.1,2196.9,89.1,5395.6,,,,Thomas Janecek,Ronald Grout,Roy Davis,Bruce Horan,Mitchell Lyle & Paul Wilson
JOIDES Resolution,200,H2O Observatory,16-Dec-01,Honolulu,USA,27-Jan-02,San Diego,USA,41.97,4.26,9.31,28.4,,18.5,1.13,,,,6.11,2.66,2,7,39,2261,10.6,355.8,66.9,288.9,100.2,34.7,4970.4,,,,Gary Acton,Brian Jonasson,William Mills,Jessica Huckemeyer,Junzo Kasahara & Ralph Stephen
JOIDES Resolution,201,Peru Biosphere,27-Jan-02,San Diego,USA,29-Mar-02,Valparaiso,Chile,60.89,5.17,22.56,33.16,,25.78,7.09,,,,0,0.29,7,33,377,,11.3,3395.7,210.9,3184.8,2845.2,89.3,5086.9,,,,Jay Miller,Michael Storms/Brian Jonasson,unknown,Paula Weiss,Steven D'Hondt & Bo Barker Jorgensen
JOIDES Resolution,202,Southeast Paleoceanography,29-Mar-02,Valparaiso,Chile,30-May-02,Balboa,Panama,62.12,5.77,18.65,37.7,,34.81,2.27,,,,0,0.62,11,38,762,4681,10.7,7463.7,383.6,7080.1,7081,100,4078.6,,,,Peter Blum,Ronald Grout,Burnette Hamlin,Jessica Huckemeyer,Alan Mix & Ralf Tiedemann
JOIDES Resolution,203,Equatorial Pacific Ion,30-May-02,Balboa,Panama,7-Jul-02,Victoria,Canada,37.89,4.09,19.27,14.53,,7.82,1.59,,,,0,5.11,1,2,19,4773,10.62,407.3,314,93.3,28.2,30.2,3871.3,,,,Thomas Davies,Brian Jonasson,Roy Davis,Paula Weiss,John Orcutt & Adam Schultz
JOIDES Resolution,204,Gas Hydrates,7-Jul-02,Victoria,Canada,2-Sep-02,Victoria,Canada,56.97,4.14,2.42,50.41,,36.71,6.09,,,,0,7.6,9,45,467,608,10.6,7126.2,3475.8,3674.5,3068.29,83.5,1228,,,,Frank Rack,Michael Storms,Bradley Julson,Jessica Huckemeyer,Gerhard Bohrmann & Anne Trehu
JOIDES Resolution,205,Costa Rica,2-Sep-02,Victoria,Canada,6-Nov-02,Balboa,Panama,64.98,5.25,16.35,43.38,,27.89,1.97,,,,0,13.52,3,4,19,3828,10.1,1402.5,998,404.5,280.6,69.4,4387.2,,,,Adam Klaus,Thomas Pettigrew,Burnette Hamlin,Paula Weiss,Julie Morris & Heinrich Villinger
JOIDES Resolution,206,Fast Spreading Crust,6-Nov-02,Balboa,Panama,4-Jan-03,Bridgetown,Barbados,59.02,6.21,6.35,46.46,,35.96,4.1,,,,0.24,4.66,1,4,117,1645,11,1346.3,496.2,850.1,514.9,60.6,3645.2,,,,Gary Acton,Ronald Grout,Roy Davis,Mads Radsted,Damon Teagle & Douglas Wilson
JOIDES Resolution,207,Demerara Rise,11-Jan-03,Bridgetown,Barbados,6-Mar-03,Rio de Janeiro,Brazil,53.72,1.9,16.99,34.83,,29.33,4.61,,,,0,0.89,5,13,486,4408,9.9,6154.4,1987.4,4167,3122.37,74.9,3203.2,,,,Mitchell Malone,Thomas Pettigrew,William Mills,Paula Weiss,Jochen Erbacher & David Mosher
JOIDES Resolution,208,Walvis Ridge,6-Mar-03,Rio de Janeiro,Brazil,6-May-03,Rio de Janeiro,Brazil,60.69,7.58,20.78,32.33,,30.09,1.76,,,,0,0.49,6,17,414,5102,10.3,5058.4,1356.8,3701.6,3590.8,97.01,4770,,,,Peter Blum,Ronald Grout,Burnette Hamlin,Peter Esmay,Dick Kroon & James Zachos
JOIDES Resolution,209,MAR Peridotite,6-May-03,Rio de Janeiro,Brazil,6-Jul-03,St. George,Bermuda,61.3,5.97,15.6,39.73,,32.15,2.91,,,,0,4.68,8,19,218,4224,11.3,1187.4,0,1187.4,357.09,30.1,3951,,,,Jay Miller,Michael Storms,Roy Davis,Paula Weiss,Peter Kelemen & Eiichi Kikawa
JOIDES Resolution,210,Newfoundland Margin,6-Jul-03,St. George,Bermuda,6-Sep-03,St John's,Canada,61.83,4.89,6.5,50.44,,35.53,1.5,,,,0,13.41,2,2,111,1227,11.03,1820.3,807,1013.3,824.42,81.4,4560,,,,Adam Klaus,Brian Jonasson,William Mills,Gerald Bode,Jean-Claude Sibuet & Brian Tucholke
